method,x0_x,x0_y,x_final_x,x_final_y,f_final,nit,grad_norm,success,u,A,g_prime
BFGS,-50,-60,-4.863627233655684e-06,-12616650.03350168,-3.14159249504546,58,9.727254454746966e-06,True,-12616649.033506542,1.9917176409668397e-21,1.2564402718748882e-14
BFGS,-50,-50,4.4971775420329123e-07,-37982304.41120677,-3.141592600933492,62,8.994355097929148e-07,True,-37982303.41120632,7.299885426019779e-23,1.3863323703397673e-15
BFGS,-50,-40,-2.589235735250722e-06,-24567315.876669534,-3.1415925721741162,60,5.178471467187733e-06,True,-24567314.876672123,2.697657657239474e-22,3.3137104570676824e-15
BFGS,-50,-30,3.804267027584363e-06,-6218121.81905132,-3.1415923319348162,57,7.608534106895033e-06,True,-6218120.819047515,1.663727550757967e-20,5.172630708090417e-14
BFGS,-50,-20,-2.2387550114490867e-06,-7791.240934594969,-3.1413359715313924,32,4.444689266993393e-06,True,-7790.240936833724,8.455836171420486e-12,3.294283930597054e-08
BFGS,-50,-10,-2.729927704752401e-07,-17286291.63680828,-3.141592537891107,61,5.459855342573958e-07,True,-17286290.63680855,7.743805681993258e-22,6.693084363480544e-15
BFGS,-50,0,-1.3494956156912723e-10,-587.1959706685018,-3.1381895145544636,25,8.189109462631854e-06,True,-586.1959706686367,1.9706809209143358e-08,5.790709780894975e-06
BFGS,-50,10,-2.2314786882992346e-06,-533.305325309799,-3.1378459441580424,30,7.469873216539045e-06,True,-532.3053275412776,2.62983685156089e-08,7.018962975401388e-06
BFGS,-50,20,-5.56858098950758e-07,-2537.6208214766043,-3.1408046688025943,34,8.611653894695596e-07,True,-2536.6208220334624,2.4463798489498396e-10,3.104601045533259e-07
BFGS,-50,30,2.6849298681456607e-06,-941.8033762724053,-3.139470190294018,26,7.948128274295797e-06,True,-940.8033735874754,4.780720767320953e-09,2.2524300676367677e-06
BFGS,-50,40,-4.305800981529191e-06,-2315.800024930232,-3.1407292072606583,29,8.247260828929158e-06,True,-2314.800029236033,3.2186702379135484e-10,3.727698988072549e-07
BFGS,-50,50,-2.547410917418437e-07,-30287.970875554212,-3.141526621863915,36,5.073067734503906e-07,True,-30286.970875808955,1.4395539702918625e-13,2.1800944115026783e-09
BFGS,-50,60,-2.4961233664247192e-06,-3310.264960506953,-3.140988563479895,39,4.813243949126383e-06,True,-3309.264963003076,1.1022380406633583e-10,1.824624585798814e-07
BFGS,-50,70,1.4653795810089996e-06,-58554.30596525002,-3.14155849755266,48,2.9313425374194277e-06,True,-58553.305963784645,1.992380829199635e-14,5.833173633204999e-10
BFGS,-50,80,3.7244937072923473e-06,-1345.1090985685082,-3.14010633624591,31,8.624583134345076e-06,True,-1344.1090948440144,1.6417461563113679e-09,1.1045707719784022e-06
BFGS,-50,90,-2.5905653334384494e-06,-16588.14259329574,-3.141472089166653,41,5.173867882286694e-06,True,-16587.142595886304,8.762488449509523e-13,7.267889305110908e-09
BFGS,-50,100,-3.4439721325141267e-06,-5088.480981057571,-3.141199647560793,34,6.811155219055596e-06,True,-5087.4809845015425,3.035062927179809e-11,7.722687046945507e-08
BFGS,-40,-100,-1.2782859910479927e-06,-18120168.661518704,-3.1415925432139136,59,2.5565719760047483e-06,True,-18120167.661519982,6.723156923517367e-22,6.091237037678841e-15
BFGS,-40,-90,9.940811851982118e-07,-56375221.69453258,-3.1415926181122265,63,1.9881623710257175e-06,True,-56375220.69453159,2.2325191432720344e-23,6.292938137775302e-16
BFGS,-40,-80,-4.740292409063595e-06,-1465685.4168834751,-3.141591289018495,50,9.480583887130485e-06,True,-1465684.4168882153,1.2703905266157577e-18,9.309967519019678e-13
BFGS,-40,-70,2.6091892143981525e-06,-97086.23435148012,-3.1415720534462745,42,5.218590615926177e-06,True,-97085.23434887093,4.3709950252337375e-15,2.1218281629811518e-10
BFGS,-40,-60,-1.8987100965941431e-06,-34973029.18508358,-3.1415925963992635,63,3.797420191553114e-06,True,-34973028.18508548,9.351046611074163e-23,1.6351721535785658e-15
BFGS,-40,-50,-5.490183332684269e-07,-111756416.30050392,-3.1415926356934274,67,1.0980366663767193e-06,True,-111756415.30050448,2.865778269143833e-24,1.6013455535213318e-16
BFGS,-40,-40,-2.8875885427232656e-06,-751583.1796569491,-3.1415899925337842,49,5.7751735448602636e-06,True,-751582.1796598367,9.421671727111815e-18,3.5405873525688325e-12
BFGS,-40,-30,-2.6830482100800198e-06,-5673724.359963761,-3.1415923010804816,58,5.36609635803117e-06,True,-5673723.359966444,2.1900557838588912e-20,6.212886972795635e-14
BFGS,-40,-20,-1.2714058541169038e-07,-14552715.260530422,-3.141592516158384,61,2.54281161379687e-07,True,-14552714.260530548,1.2978600086364052e-21,9.443693901322408e-15
BFGS,-40,-10,9.550592941176778e-07,-647666.3725988455,-3.1415895655816284,51,1.910123356135703e-06,True,-647665.3725978904,1.4723292478342333e-17,4.7678943968306546e-12
BFGS,-40,0,6.7060589462671245e-15,-561.2437193664018,-3.1380322895324237,24,8.963475931037152e-06,True,-560.2437193664018,2.256634076804702e-08,6.338134607132714e-06
BFGS,-40,10,-4.3140212110084285e-06,-18388.809203135417,-3.141483894727184,29,8.62213020731041e-06,True,-18387.809207449438,6.432262507878337e-13,5.914243107480417e-09
BFGS,-40,20,-3.417820288021744e-07,-888.5045432548976,-3.1393429408466895,25,3.1329801104460424e-06,True,-887.5045435966797,5.693172840315174e-09,2.530609850037348e-06
BFGS,-40,30,8.987617008433214e-07,-4632.143909067119,-3.1411609346357783,22,1.893009261827082e-06,True,-4631.1439081683575,4.0232170836750425e-11,9.319063560172022e-08
BFGS,-40,40,3.77088251708167e-06,-1007.7934360032757,-3.1396091002699587,22,9.710372687535537e-06,True,-1006.7934322323932,3.902151160118717e-09,1.967245566865731e-06
BFGS,-40,50,1.813329034113062e-06,-2128.317282872196,-3.1406531643857845,29,4.091846820336992e-06,True,-2127.3172810588667,4.146158805208673e-10,4.4132016578335735e-07
BFGS,-40,60,-2.8846895119931168e-06,-3322.5375783754735,-3.1409907944997633,34,5.591196076068984e-06,True,-3321.537581260163,1.0900707466294793e-10,1.811172085542918e-07
BFGS,-40,70,4.998522059083836e-06,-32105.35774690504,-3.1415303596363975,45,9.998984573180533e-06,True,-32104.35774190652,1.2086683921727026e-13,1.9402667619884574e-09
BFGS,-40,80,-2.2234245116617803e-06,-4297.033057242501,-3.1411272702637945,39,4.339909458641835e-06,True,-4296.033059465925,5.0396756098297016e-11,1.082908289963068e-07
BFGS,-40,90,3.2293948155873202e-06,-3806.287670535793,-3.1410672761642546,39,6.598243857210002e-06,True,-3805.2876673063984,7.250774102910144e-11,1.3801073240693671e-07
BFGS,-40,100,-3.309879758085912e-06,-742.3461160279223,-3.138900296582354,31,4.701963541524847e-06,True,-741.3461193378021,9.758261795577419e-09,3.624405686949634e-06
BFGS,-30,-100,3.4259358240782625e-06,-19214688.137119856,-3.1415925494910195,57,6.85187165357358e-06,True,-19214687.13711643,5.638452643685776e-22,5.417055597177325e-15
BFGS,-30,-90,-8.684855893909027e-07,-58957084.32160615,-3.1415926196660595,61,1.7369711782064212e-06,True,-58957083.32160702,1.9518749356491473e-23,5.753842807111767e-16
BFGS,-30,-80,4.1563159713036096e-06,-60189883.16775686,-3.141592620344343,61,8.312631943159275e-06,True,-60189882.167752706,1.8343807299243318e-23,5.520558136825632e-16
BFGS,-30,-70,3.3817813574664064e-06,-4017865.7311278107,-3.1415921558017046,53,6.763562838823611e-06,True,-4017864.731124429,6.166994639602515e-20,1.2389079754987744e-13
BFGS,-30,-60,2.715600365244637e-07,-328542.6281434797,-3.141586566108872,44,5.431386020765056e-07,True,-328541.62814320816,1.127931765808651e-16,1.8528711532556312e-11
BFGS,-30,-50,4.602814267814336e-06,-9537932.140384344,-3.141592443879561,56,9.205628557613421e-06,True,-9537931.140379742,4.609960862430124e-21,2.1984748090321325e-14
BFGS,-30,-40,-3.875567029066075e-07,-7806249.16501428,-3.1415923973846684,57,7.751133729927211e-07,True,-7806248.165014667,8.408773996980876e-21,3.2820494598554906e-14
BFGS,-30,-30,-1.5556378674865402e-06,-19205604.76593092,-3.1415925494511083,60,3.1112757295508993e-06,True,-19205603.765932478,5.646456617151467e-22,5.42218084701109e-15
